ARTIST,ALBUM,LABEL,NOTES
"16-17",human distortion,digital hardcore,""
a minor forest,inindependence,thrill jockey,2xlp
"a silver mt. zion","he has left us alone but shafts of light sometimes grace the corner of our rooms...",constellation,""
a tribe called quest,the low end theory,jive,""
a tribe called quest,midnight marauders,jive,"1993, green frame"
acrid,"sea of shit","no idea!",clear red
"aesop rock","labor days","block block chop",""
"against me!","reinventing axl rose","no idea!","2nd press (??/550)"
"against me!","as the eternal cowboy",fat wreck,""
algebra one,"the keep tryst ep",delmar,""
algernon cadwallader,some kind of cadwallader,"marika/security blanket",""
alvvays,blue rev,polyvinyl,"early bird edition, ?/4000. crystal"
ampere,like shadows,no idea,"third press: clear gold"
amy winehouse,the ska collection,"2 thin","bootleg from jump up(?)"
amygdala,"population control","dead tank/react with protest/etc",""
antioch arrow,the lady is a cat,gravity,""
art blakey and the jazz messengers,"moanin'",blue note,repress
assfactor 4,assfactor 4,old glory,""
atari teenage riot,"60 second wipeout (special edition)",digital hardcore,"3xlp (special edition: extra live lp)"
atari teenage riot,revolution action,digital hardcore,""
atari teenage riot,too dead for me,digital hardcore,""
atom and his package,making love,"no idea!","first press, red"
"aussitôt mort","aussitôt mort","level-plane",""
beastie boys,"she's on it",def jam,"single"
"belle & sebastian","fold your hands child, you walk like a peasant",matador,""
"bitchin'","the night life, the right style","no idea!",""
biz markie,"the biz never sleeps","cold chillin'",""
black sheep,"a wolf in sheep's clothing",mercury,""
bluetip,join us,dischord,""
body farm,living hell,"blind rage/dead tank/so this is progress",black
boogie down productions,by all means necessary,jive,""
boogie down productions,criminal minded,"b-boy",""
boogie down productions,ghetto music,"jive",""
boogie down productions,"love's gonna get'cha (material love)","bmg/jive","12in single"
braid,the age of octeen,mud,""
braid,frame and canvas,polyvinyl,""
brandtson,fallen star collection,steadfast,""
break away,cross my heart,"react!",""
bright eyes,boxed set,"saddle-creek","7xLP, boxed set. first press."
bright eyes,cassadaga,"saddle-creek",""
bright eyes,digital ash in a digital urn,"saddle-creek",""
bright eyes,every day and every night,"saddle-creek","(?/1000)"
bright eyes,four winds,"saddle-creek",""
bright eyes,i'm wide awake it's morning,"saddle-creek",""
bright eyes,lifted or the story is in the soil so keep your ear to the ground,"saddle-creek",2xlp
bright eyes,noise floor,"saddle-creek",2xlp
bright eyes,there is no beginning to the story,"saddle-creek",""
bruce springsteen,dancing in the dark,columbia,"single"
bruce springsteen,darkness on the edge of town,columbia,""
bruce springsteen,born to run,columbia,""
bruce springsteen,the river,columbia,""
bruce springsteen,born in the usa,columbia,""
bruce springsteen,greetings from asbury park,columbia,""
bruce springsteen,tunnel of love,columbia,""
burned out bright,burned out bright,friends forever,"one sided, (??/300)"
civilization,civilization,"dead tank/bring back the magic",marble
"car vs. driver",deja grateful,lunchbox,""
carry on,"it's all in our blood","youngblood/react!",clear red
casiotone for the painfully alone,etiquette,tomlab,""
casiotone for the painfully alone,pocket symphonies for lonesome subway cars,tomlab,""
casiotone for the painfully alone,twinkle echo,tomlab,""
cat stevens,tea for tillerman,"a&m",""
catbite,catbite,"bad time","clear yellow"
catbite,"catfite/catlite",bad time,"orange, ??/200"
catbite,nice one,"bad time","blue/white splatter"
christie front drive,stereo,caulfield,""
christie front drive,self titled,dark operative,"2018 repress"
circle takes the square,as the roots undo,hyperrealist,"white (??/220)"
city of caterpillar,city of caterpillar,"level-plane",repress
city of caterpillar,"demo + live recording","lilac sky/6-60/adagio 830","2nd press, 663/1000"
city of caterpillar,driving spain up a wall,adagio 830,""
city of caterpillar,mystic sisters,relapse,"black/white smoke + pink & white splatter"
clikatat ikatowi,river of souls,gravity,"with poster"
cloud rat,cloud rat,"ifb/midwest decline/otherwise dead","repress, green"
cloud rat,moksha,"ifb/halo of lies","us pressing, recycled sleeve, first or second? press"
coalesce,"012:2",relapse,"2008 press, blue light/blue dark split with red speckles"
coke bust,confined,grave mistake,""
completed exposition,structure space mankind,625/psychocontrol,clear
cobra kai,complete recordings,chiaroscuro,"(??/500)"
cowboys became folk heroes,discography,"drugged conscience/this is not dead/bring back the magic",""
crass,"demo 1978 + 1979 peel session",31012,"bootleg?"
curmudgeon,amygdala,"not normal tapes/parade of spectres/ifb",""
current,"yesterday's tomorrow is not today",numero group,"3xlp boxed set. council records edition, maroon"
cursive,domestica,"saddle-creek",""
daft punk,discovery,parlophone,"2014 repress"
daïtro,laisser vivre les squelettes,code of ethics,""
daïtro,y,purepainsugar,""
dave brubeck,adventures in time,columbia,""
de la soul,3 feet high and rising,tommy boy,"20th anniversry pressing"
dead friends,dead friends,"purepainsugar/drugged conscious/vinyl rites",""
dead prez,let’s get free,loud,""
death cab for cutie,transatlanticism,barsuk,""
"defiance, ohio",the great depression,"no idea!","first press, midnight blue marble"
desaparecidos,"read music. speak spanish.","saddle-creek",""
devices,devices,discern direction,"puke green (?/500) first press"
dissidente,the war on two fronts,bad time,"red and blue swirl, ?/250"
dj jazzy jeff and the fresh prince,rock the house,jive,""
dj jazzy jeff and the fresh prince,"i’m the dj…",jive,""
do make say think,"& yet & yet",constellation,""
double dagger,more,thrill jockey,""
downcast,downcast,ebullition,""
downcast,"tell me i'm alive","ebullition/31g",""
dropdead,落とす死,coalition,first press
dropdead,"demos 1991",armageddon,"green, 3rd pressing"
dropdead,discography,flat earth,""
dropdead,second self titled lp,armageddon,"first press, purple"
dropdead,”discography 1995-2013”,armageddon,silver
dropdead,2020,armageddon,"orange/clear swirl"
"ds-13",killed by the kids,havoc,marble green
"ds-13",killed by the kids,havoc,marble grey
"ds-13","last mosh for charlie: live in umeå hard core","umeå hardcore/rotten to the core",gold
"durand jones & the indications",american love call,"dead oceans/colemine",""
"durand jones & the indications","durand jones & the indications","dead oceans/colemine",""
dyke drama,tender resignation,salinas,""
einstürzende neubauten,perpetuum mobile,mute,2xlp
efrim manuel menuck,pissing stars,constellation,""
efrim manuel menuck,"plays 'high gospel'",constellation,""
"el-p","cancer for cure","fat possum",""
elliott smith,"either/or",kill rock stars,"2002 press, scratched 68082 in runout"
elliott smith,elliott smith,kill rock stars,"2002 press"
elvis costello,my aim is true,columbia,""
elvis costello,punch the clock,columbia,"promotional copy"
elvis costello,taking liberties,columbia,""
emperor x,"the joytakers' rakes/stars on the ceiling pleasently kneeling",self released,handmade cover
emperor x,"the blythe archives: volume one",burnt toast vinyl,"(?/500), etched b-sides with coordinates"
emperor x,orlando sentinel,thebomberjacket,""
end of the line,end of the line,ebullition,""
environmental youth crunch,"let's ride","dead tank/bring back the magic",
envy,abyssal,temporary residence,"vanilla/brown swirl"
envy,a dead sinking story,"level-plane","first press, 2xLP. (???/550)"
envy,a dead sinking story,temporary residence,"2xlp, clear with black smoke/haze"
envy,"all the footprints you've ever left and the fear expecting ahead",temporary residence,"black/red"
envy,"compiled fragments 1997-2003",temporary residence,"2xlp, clear with white and silver haze"
envy,insomniac doze,temporary residence,""
"eric b. and rakim",follow the leader,uni,""
eric holphy,out to lunch,blue note,repress
escuela grind,indoctrination,"armageddon/to live a lie/rs","sky blue tlal variant"
explosions in the sky,all of a sudden i miss everyone,temporary residence,""
explosions in the sky,the earth is not a cold dead place,temporary residence,""
explosions in the sky,"those who tell the truth shall die, those who tell the truth shall live forever",temporary residence,""
falling forward,"let these days pass: the complete anthology 1991-1995",temporary residence,""
fat boys,fat boys,sutra,""
fat boys,"crushin'",polygram,""
